2021-06-11_183628 CO2: 413.62ppm, temp: 26.56'C, rh: 69.88%
2021-06-11_184635 CO2: 400.38ppm, temp: 26.62'C, rh: 69.82%
2021-06-11_185641 CO2: 389.52ppm, temp: 26.53'C, rh: 69.92%
2021-06-11_190648 CO2: 379.04ppm, temp: 26.52'C, rh: 69.87%
2021-06-11_191655 CO2: 379.61ppm, temp: 26.49'C, rh: 69.83%
2021-06-11_192701 CO2: 367.23ppm, temp: 26.49'C, rh: 69.79%
2021-06-11_193708 CO2: 365.65ppm, temp: 26.49'C, rh: 69.93%
2021-06-11_194714 CO2: 367.60ppm, temp: 26.47'C, rh: 69.97%
2021-06-11_195721 CO2: 365.67ppm, temp: 26.49'C, rh: 69.94%
2021-06-11_200728 CO2: 368.06ppm, temp: 26.50'C, rh: 69.90%
2021-06-11_201734 CO2: 373.85ppm, temp: 26.53'C, rh: 69.82%
2021-06-11_202741 CO2: 368.30ppm, temp: 26.52'C, rh: 69.68%
2021-06-11_203748 CO2: 370.94ppm, temp: 26.52'C, rh: 69.57%
2021-06-11_204754 CO2: 365.37ppm, temp: 26.52'C, rh: 69.47%
2021-06-11_205801 CO2: 374.80ppm, temp: 26.56'C, rh: 69.40%
2021-06-11_210801 CO2: 371.19ppm, temp: 26.54'C, rh: 70.45%
2021-06-11_211801 CO2: 369.00ppm, temp: 26.54'C, rh: 69.95%
2021-06-11_212801 CO2: 370.98ppm, temp: 26.54'C, rh: 69.62%
2021-06-11_213801 CO2: 370.66ppm, temp: 26.53'C, rh: 69.46%
2021-06-11_214801 CO2: 370.61ppm, temp: 26.54'C, rh: 70.37%
2021-06-11_215802 CO2: 371.41ppm, temp: 26.54'C, rh: 69.67%
2021-06-11_220802 CO2: 366.32ppm, temp: 26.56'C, rh: 69.45%
2021-06-11_221802 CO2: 381.02ppm, temp: 26.56'C, rh: 70.03%
2021-06-11_222802 CO2: 372.53ppm, temp: 26.53'C, rh: 69.46%
2021-06-11_223802 CO2: 371.75ppm, temp: 26.54'C, rh: 70.19%
2021-06-11_224802 CO2: 374.78ppm, temp: 26.56'C, rh: 69.51%
2021-06-11_225802 CO2: 376.72ppm, temp: 26.57'C, rh: 70.29%
2021-06-11_230802 CO2: 376.01ppm, temp: 26.56'C, rh: 69.48%
2021-06-11_231802 CO2: 377.61ppm, temp: 26.57'C, rh: 70.23%
2021-06-11_232802 CO2: 380.01ppm, temp: 26.57'C, rh: 69.56%
2021-06-11_233803 CO2: 389.03ppm, temp: 26.59'C, rh: 70.25%
2021-06-11_234803 CO2: 383.47ppm, temp: 26.56'C, rh: 69.50%
2021-06-11_235803 CO2: 371.58ppm, temp: 26.57'C, rh: 70.11%
2021-06-12_000803 CO2: 374.09ppm, temp: 26.60'C, rh: 69.41%
2021-06-12_001803 CO2: 380.86ppm, temp: 26.60'C, rh: 69.94%
2021-06-12_002803 CO2: 384.01ppm, temp: 26.60'C, rh: 70.52%
2021-06-12_003803 CO2: 384.39ppm, temp: 26.62'C, rh: 69.73%
